FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
21.189,0.6136,21.1859,"1,4,5,8-Tetramethylnaphthalene",C14H16,76.07896851,Manual assignment based on HydroUI,A
21.255,0.2495,21.2508,"1,1'-Biphenyl, 4-methoxy-",C13H12O,78.23664371,Manual assignment based on HydroUI,O
21.319,0.4479,21.317,"1,2,3,3a,8,9,9a,9b-Octahydrocyclopenta[def]phenanthrene",C15H18,63.88693546,Manual assignment based on HydroUI,A
21.378,0.8867,21.3748,"1,4,5,8-Tetramethylnaphthalene",C14H16,82.38051118,Manual assignment based on HydroUI,A
21.424,0.5018,21.4216,"1,4,5,8-Tetramethylnaphthalene",C14H16,57.70058504,Manual assignment based on HydroUI,A
21.492,0.7736,21.4901,"Naphthalene, 1,2,3,4-tetramethyl-",C14H16,78.59404788,Manual assignment based on HydroUI,A
21.55,0.38,21.6195,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,81.66497534,Manual assignment based on HydroUI,A
21.62,0.2925,21.6785,"Naphthalene, 1,6-dimethyl-4-(1-methylethyl)-",C15H18,80.68673237,Manual assignment based on HydroUI,A
21.681,0.7055,,No match,,,Manual assignment based on HydroUI,
21.752,0.2248,,No match,,,Manual assignment based on HydroUI,
21.801,0.2438,21.7959,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,76.97912323,Manual assignment based on HydroUI,A
21.853,0.0329,,No match,,,Manual assignment based on HydroUI,
