,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
112,14.6828,"Benzene, 1,3,5-triethyl-",C12H18,78.001641,"Benzene, 1,3,5-triethyl-",C12H18,78.001641,"Benzene, 1,3,5-triethyl-",C12H18,58.00282041
111,14.7838,"Benzene, pentamethyl-",C11H16,82.61194317,"Benzene, pentamethyl-",C11H16,82.61194317,"Benzene, 1,3-dimethyl-5-(1-methylethyl)-",C11H16,76.79598248
110,14.8242,"1H-Indene, 2,3-dihydro-1,1-dimethyl-",C11H14,69.52602538,"1H-Indene, 2,3-dihydro-1,1-dimethyl-",C11H14,69.52602538,"1H-Indene, 2,3-dihydro-4,7-dimethyl-",C11H14,62.02804489
109,14.9082,"Hexane, 2,4,4-trimethyl-",C9H20,72.50488665,"3,6-Heptanedione",C7H12O2,74.25575583,"Hexane, 2,4,4-trimethyl-",C9H20,67.39808852
108,14.9648,"Benzene, pentamethyl-",C11H16,76.35506133,"Benzene, pentamethyl-",C11H16,76.35506133,"Benzene, 2,4-dimethyl-1-(1-methylethyl)-",C11H16,71.40914384
107,15.1257,5-Methyl-2-phenyl-2-propyle-4-hexene-1-ol,C16H24O,53.14933946,"Silane, triethoxymethyl-",C7H18O3Si,55.79138476,5-Methyl-2-phenyl-2-propyle-4-hexene-1-ol,C16H24O,53.14933946
106,15.1824,"Benzene, 1,3,5-trimethyl-2-propyl-",C12H18,79.73654122,"Benzene, 1,3,5-trimethyl-2-propyl-",C12H18,79.73654122,"Benzene, 1,3,5-triethyl-",C12H18,76.3745474
105,15.4345,"Benzene, 1,4-dimethyl-2-(2-methylpropyl)-",C12H18,65.62654041,"Benzene, 1,4-dimethyl-2-(2-methylpropyl)-",C12H18,65.62654041,"Benzene, 1-ethyl-4-(2-methylpropyl)-",C12H18,58.47581292
104,15.4401,"Benzene, 1,4-dimethyl-2-(2-methylpropyl)-",C12H18,73.23764836,"Benzene, 1,4-dimethyl-2-(2-methylpropyl)-",C12H18,73.23764836,"l-Alanine, N-(p-toluoyl)-, heptyl ester",C18H27NO3,64.60355422
103,15.4985,"1H-Indene, 2,3-dihydro-1,5,7-trimethyl-",C12H16,63.39132736,"1H-Indene, 2,3-dihydro-1,5,7-trimethyl-",C12H16,63.39132736,2-Acetyl-5-chlorothiophene,C6H5ClOS,55.22110953
102,15.5527,No Match,,,2-Dimethyl(trimethylsilylmethyl)silyloxymethyltetrahydrofuran,C11H26O2Si2,56.29621905,"Pentanoic acid, 3-methyl-2-[(trimethylsilyl)oxy]-, trimethylsilyl ester",C12H28O3Si2,50.3366441
101,15.7479,"1,3-dioxane-5,5-dimethanol, 2-butyl-",C10H20O4,72.01786975,"1,3-dioxane-5,5-dimethanol, 2-butyl-",C10H20O4,72.01786975,"4-Thiepanone, 5-hydroxy-3,3,6,6-tetramethyl-",C10H18O2S,60.30540143
100,15.8644,"1,3-dioxane-5,5-dimethanol, 2-butyl-",C10H20O4,64.27686401,"1,3-dioxane-5,5-dimethanol, 2-butyl-",C10H20O4,64.27686401,"Disiloxane, hexamethyl-",C6H18OSi2,57.71205109
99,16.0248,"Benzene, pentamethyl-",C11H16,87.87795152,"Benzene, pentamethyl-",C11H16,87.87795152,"Benzene, 1,4-dimethyl-2-(1-methylethyl)-",C11H16,73.84176855
98,16.2117,"1H-Indene, 2,3-dihydro-1,1,3-trimethyl-",C12H16,58.64511567,"Indene, 1,1-dimethyl-1-sila-",C10H12Si,59.13006558,"1H-Indene, 2,3-dihydro-1,1,5-trimethyl-",C12H16,53.51607257
97,16.3498,"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methylethyl)-, (1S-cis)-",C15H22,65.86685648,"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methylethyl)-, (1S-cis)-",C15H22,65.86685648,"1H-Indene, 2,3-dihydro-4,5,7-trimethyl-",C12H16,54.56486984
96,16.5204,"Naphthalene, 2-methyl-",C11H10,55.41264537,"Succinic acid, naphth-2-ylmethyl 2,3,4-trifluorophenyl ester",C21H15F3O4,59.17909837,"Naphthalene, 1-methyl-",C11H10,54.49335452
95,16.5441,"Naphthalene, 2-methyl-",C11H10,65.82900449,"Naphthalene, 2-methyl-",C11H10,65.82900449,"Naphthalene, 1-methyl-",C11H10,64.44934303
94,16.8157,"Toluene, 4-(1,1-dimethyl-2-propynyloxy)-",C12H14O,62.60178991,"Silane, trimethyl(phenylethynyl)-",C11H14Si,64.24753598,"Silane, trimethyl(phenylethynyl)-",C11H14Si,54.16885962
93,17.09,"Benzene, 1-(1,1-dimethylethyl)-3-ethyl-",C12H18,70.63020193,"1(3H)-Isobenzofuranone, 3,3-dimethyl-",C10H10O2,80.59760884,"Ethanone, 1-(2,4,6-trimethylphenyl)-",C11H14O,67.57805123
92,17.1665,6-Ethyl-3-formylchromone,C12H10O3,62.67256977,6-Ethyl-3-formylchromone,C12H10O3,62.67256977,N-[2-(4-tert-butylphenyl)-1-methylethyl]formamide,C14H21NO,51.19323534
91,17.325,No Match,,,"l-Alanine, N-(4-ethylbenzoyl)-, heptyl ester",C19H29NO3,79.84393319,"D-Alanine, N-(4-ethylbenzoyl)-, pentyl ester",C17H25NO3,57.75095144
