FID RT (min),FID Signal,,MS RT (min),MS Signal
0.434159383,3.457538733,,1.961,0.781810943
0.434992717,3.4581952,,1.965,0.774647175
0.43582605,3.458655222,,1.968,0.755322757
0.436659383,3.457872344,,1.972,0.7530218
0.437492717,3.456866889,,1.975,0.76578396
0.43832605,3.456150422,,1.979,0.7646824
0.439159383,3.454412056,,1.983,0.748361909
0.439992717,3.454599911,,1.986,0.741980829
0.44082605,3.456559133,,1.99,0.744209315
0.441659383,3.457085744,,1.993,0.735023603
0.442492717,3.456571089,,1.997,0.720449666
0.44332605,3.454077822,,2.001,0.720268488
0.444159383,3.453784356,,2.004,0.730729691
0.444992717,3.454349522,,2.008,0.736128788
0.44582605,3.456973078,,2.011,0.740683596
0.446659383,3.459063178,,2.015,0.754239315
0.447492717,3.458493989,,2.019,0.761287129
0.44832605,3.455996767,,2.022,0.753000059
0.449159383,3.455513856,,2.026,0.753543592
0.449992717,3.455549911,,2.029,0.768733534
0.45082605,3.4572004,,2.033,0.768396543
0.451659383,3.457433389,,2.036,0.743115001
0.452492717,3.456922022,,2.04,0.716191989
0.45332605,3.455011911,,2.044,0.704375577
0.454159383,3.452969978,,2.047,0.708426711
0.454992717,3.454329933,,2.051,0.722373773
0.45582605,3.455312656,,2.054,0.733889431
0.456659383,3.456325689,,2.058,0.734842426
0.457492717,3.456421856,,2.062,0.736646956
0.45832605,3.457663822,,2.065,0.749238809
0.459159383,3.4577906,,2.069,0.759174596
0.459992717,3.455523389,,2.072,0.761758191
0.46082605,3.453383589,,2.076,0.767545008
0.461659383,3.453510356,,2.079,0.772299112
0.462492717,3.456368678,,2.083,0.765660759
0.46332605,3.456719078,,2.087,0.750684607
0.464159383,3.456932744,,2.09,0.742763516
0.464992717,3.455815311,,2.094,0.749195326
0.46582605,3.456634533,,2.097,0.754960402
0.466659383,3.454601667,,2.101,0.75078969
0.467492717,3.451848422,,2.105,0.74952507
0.46832605,3.450397767,,2.108,0.754177714
0.469159383,3.453745489,,2.112,0.755243039
